BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,Other,Distribution Center,Parking,Hotel,Restaurant,Supermarket/Grocery Store,Medical Office,Non-Refrigerated Warehouse,K-12 School,Retail Store,Worship Facility,Office,grouped_usetypes
NonResidential,Hotel,DOWNTOWN,1927,1.0,12,88434,0.0,0.54606,0.176638,0.277302,7226362.5,81.69999695,249.98,2.83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1996,1.0,11,103566,0.145453,0.386609,0.613391,0.0,8387933.0,94.80000305,295.86,2.86,0.0,0.0,0.1454531409922175,0.8099183129598517,0.04462854604793079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1969,1.0,41,956110,0.205748,0.682307,0.020579,0.297113,72587024.0,96.0,2089.28,2.19,0.0,0.0,0.0,0.791219629540534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1926,1.0,10,61320,0.0,0.407519,0.266567,0.325913,6794584.0,110.8000031,286.43,4.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1980,1.0,18,175580,0.353115,0.378802,0.621198,0.0,14172606.0,114.8000031,505.01,2.88,0.0,0.0,0.38733910468162663,0.7030698257204693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential COS,Other,DOWNTOWN,1999,1.0,2,97288,0.382349,0.609884,0.390116,0.0,12086616.0,136.1000061,301.81,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130622481703807
NonResidential,Hotel,DOWNTOWN,1926,1.0,11,83008,0.0,0.48816,0.51184,0.0,5758795.0,70.80000305,176.14,2.12,0.0,0.0,0.0,0.9800501156515035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Other,DOWNTOWN,1926,1.0,8,102761,0.0,0.577418,0.061159,0.361423,6298131.5,61.29999924,221.51,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NonResidential,Hotel,DOWNTOWN,1904,1.0,15,163984,0.0,0.53177,0.46823,0.0,13723820.0,83.69999695,392.16,2.39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,DOWNTOWN,1969,1.0,11,153163,0.125872,0.386325,0.286692,0.326983,16016644.0,119.5999985,691.26,4.51,0.0,0.0,0.0,0.8741275634454797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
