BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,surface_inverse
NonResidential,Hotel,DOWNTOWN,1927,1.0,12,88434,0.0,0.54606,0.176638,0.277302,7226362.5,81.69999695,249.98,2.83,1.1307868014564535e-05
NonResidential,Hotel,DOWNTOWN,1996,1.0,11,103566,0.145453,0.386609,0.613391,0.0,8387933.0,94.80000305,295.86,2.86,9.655678504528514e-06
NonResidential,Hotel,DOWNTOWN,1969,1.0,41,956110,0.205748,0.682307,0.020579,0.297113,72587024.0,96.0,2089.28,2.19,1.0459047599125624e-06
NonResidential,Hotel,DOWNTOWN,1926,1.0,10,61320,0.0,0.407519,0.266567,0.325913,6794584.0,110.8000031,286.43,4.67,1.6307893020221788e-05
NonResidential,Hotel,DOWNTOWN,1980,1.0,18,175580,0.353115,0.378802,0.621198,0.0,14172606.0,114.8000031,505.01,2.88,5.695409499943046e-06
Nonresidential COS,Other,DOWNTOWN,1999,1.0,2,97288,0.382349,0.609884,0.390116,0.0,12086616.0,136.1000061,301.81,3.1,1.0278759970397172e-05
NonResidential,Hotel,DOWNTOWN,1926,1.0,11,83008,0.0,0.48816,0.51184,0.0,5758795.0,70.80000305,176.14,2.12,1.2047031611410948e-05
NonResidential,Other,DOWNTOWN,1926,1.0,8,102761,0.0,0.577418,0.061159,0.361423,6298131.5,61.29999924,221.51,2.16,9.73131830169033e-06
NonResidential,Hotel,DOWNTOWN,1904,1.0,15,163984,0.0,0.53177,0.46823,0.0,13723820.0,83.69999695,392.16,2.39,6.098155917650502e-06
NonResidential,Hotel,DOWNTOWN,1969,1.0,11,153163,0.125872,0.386325,0.286692,0.326983,16016644.0,119.5999985,691.26,4.51,6.528991988926829e-06
NonResidential,Hotel,DOWNTOWN,1998,1.0,25,333176,0.18357,0.671207,0.106109,0.222684,26941110.0,80.0,740.97,2.22,3.001416668667611e-06
NonResidential,Hotel,DOWNTOWN,1928,1.0,9,65009,0.0,0.203606,0.545281,0.251113,6596057.5,101.5,328.23,5.05,1.5382485502007415e-05
NonResidential,Hotel,DOWNTOWN,1980,1.0,33,315952,0.182306,0.622798,0.182906,0.194296,22325364.0,75.5,648.62,2.05,3.1650377272497086e-06
NonResidential,Hotel,DOWNTOWN,1922,1.0,11,92190,0.273349,0.356499,0.190399,0.453102,10750010.0,159.5,511.39,5.55,1.0847163466753444e-05
Nonresidential COS,Other,DOWNTOWN,2004,1.0,11,412000,0.13835,0.960322,0.0,0.039678,18588860.0,50.79999924,181.38,0.44,2.4271844660194174e-06
NonResidential,Other,DOWNTOWN,1930,1.0,6,103911,0.0,0.447337,0.091417,0.461246,9956396.0,76.59999847,433.86,4.18,9.623620213451896e-06
NonResidential,Hotel,DOWNTOWN,1983,1.0,28,416281,0.204189,0.632519,0.367481,0.0,33556756.0,96.30000305,802.89,1.93,2.4022234980698133e-06
NonResidential,Mixed Use Property,DOWNTOWN,1907,1.0,5,57452,0.0,0.494971,0.271505,0.233524,7606084.5,132.3999939,273.02,4.75,1.7405834435702847e-05
NonResidential,Hotel,DOWNTOWN,1916,1.0,10,104352,0.0,0.581841,0.080296,0.337863,10154608.0,97.30000305,349.32,3.35,9.58295001533272e-06
NonResidential,Other,DOWNTOWN,1916,1.0,10,540360,0.0,0.541472,0.458528,0.0,44984468.0,83.69999695,1265.29,2.34,1.8506181064475535e-06
NonResidential,Other,DOWNTOWN,1985,1.0,19,385274,0.0,0.381482,0.618518,0.0,47859812.0,124.1999969,1699.45,4.41,2.595555370982729e-06
